company_name,contact_name,email,phone,country,lanes,fmc_id,trade_name,license_number,city,state,zip,street,carrier_type,qi_title,renewal_date,fax
AMBYTH SHIPPING & TRADING INC.,GREGORY DAVID,,(671) 649-8200,UNITED STATES,,001301,AMBYTH LOGISTICS,001301,TAMUNING,GU,96913,193 ROJAS STREET HARMON INDUSTRIAL PARK,NVOCC + FF,PRESIDENT/CEO,2028-01-31,(671) 646-6772
"I.M.S., INC.",GEROGE HARRINGTON,,(703) 751-6400,UNITED STATES,,001316,INTERNATIONAL MOVING SERVICE,001728,ALEXANDRIA,VA,22304,4412/4414 WHEELER AVENUE,NVOCC + FF,PRESIDENT,2026-08-31,(703) 370-7152
IBEX INTERNATIONAL FORWARDING CORP.,JAMES CARROLL,,(800) 437-2765,UNITED STATES,,001319,IBEX CONTAINER SERVICES,002256,WHITE PLAINS,NY,10604,2 WESTCHESTER PARK DRIVE SUITE 401,NVOCC + FF,PRESIDENT,2027-06-30,(914) 696-0530
"IMPEX SERVICES, INC.",JOANNE IKEDA,,(510) 900-3002,UNITED STATES,,001326,,000027,EL CERRITO,CA,94530,1833 GANGES AVENUE,NVOCC,PRESIDENT,2026-07-31,(510) 344-9844
"JAGRO CUSTOMS BROKERS AND INTERNATIONAL FREIGHT FORWARDERS, INC.",CHRISTOPHER MURY,,(908) 967-5400,UNITED STATES,,001403,,002312,BERKLEY HEIGHTS,NJ,07922,300 CONNELL DRIVE SUITE 2000,NVOCC + FF,CEO,2029-02-28,(908) 967-5401
"JANTZEN INTERNATIONAL, LTD.",JEANNE NELSON,,(847) 640-5200,UNITED STATES,,001405,,001433,ARLINGTON HEIGHTS,IL,60004,3205 N. WILKE RD. SUITE #100,NVOCC + FF,OPERATIONS OFFICER,2029-03-31,(847) 640-0155
"HORIZON AIR FREIGHT, INC.",ANGELO LEONDIS,,(718) 528-3800,UNITED STATES,,001448,,001851,JAMAICA,NY,11434,152-15 ROCKAWAY BLVD.,NVOCC + FF,PRESIDENT/CEO,2027-01-31,(718) 949-0655
"M. E. DEY & CO., INC.",SARAH AZAR,,(414) 747-7000,UNITED STATES,,001454,ROLLAND DEY CONTAINER LINE,000860,MILWAUKEE,WI,53204,700 WEST VIRGINIA STREET SUITE 300,NVOCC + FF,CHIEF OPERATING OFFICER,2027-10-31,(414) 747-7010
"NAIGAI NITTO CO., LTD.",,,,JAPAN,,001493,,,TOKYO 140-0002,,,"3-6-5, HIGASHI-SHINAGAWA SHINAGAWA-KU",NVOCC,,2028-10-21,
"NISSIN INTERNATIONAL TRANSPORT U.S.A., INC.",MARK SCLAFANI,,(310) 222-5850,UNITED STATES,,001552,,001647,TORRANCE,CA,90501,1540 WEST 190TH STREET,NVOCC + FF,VICE PRESIDENT OF FORWARDING/CUSTOMS BROKERAGE,2027-07-31,
"LEMAN U.S.A., INC.",HENRIK KRISTENSEN,,(704) 954-4671,UNITED STATES,,001597,,002488,STURTEVANT,WI,53177,1860 RENAISSANCE BLVD.,NVOCC + FF,CHIEF EXECUTIVE OFFICER USA,2028-08-31,
"MIDWEST TRANSATLANTIC LINES, INC.",THOMAS LAZZARO,,(440) 243-1993,UNITED STATES,,001722,,002365,BEREA,OH,44017,1230 WEST BAGLEY ROAD,NVOCC + FF,PRESIDENT,2027-05-31,(440) 243-1996
"THE SUMITOMO WAREHOUSE CO., LTD.",,,,JAPAN,,002165,,,TOKYO  105-0011,,,2-11-1 SHIBA-KOEN MINATO-KU,NVOCC,,2028-12-04,
"GHEDI INTERNATIONAL, INC.",JAMES GHEDI,,(512) 385-3706,UNITED STATES,,002531,GHEDI OCEAN SERVICES,002850,AUSTIN,TX,78744,8002 BURLESON ROAD,NVOCC + FF,PRESIDENT,2027-10-31,(512) 385-8300
"NATIONAL VAN LINES, INC.",TIM HELENTHAL,,(708) 450-2940,UNITED STATES,,002566,,016362,BROADVIEW,IL,60155,2800 ROOSEVELT ROAD NATIONAL PLAZA,NVOCC + FF,DIRECTOR & CEO,2027-02-28,(708) 450-1273
"MITCHELL OVERSEAS MOVERS, INC.",DENNIS WHITE,,(425) 977-4172,UNITED STATES,,002714,,016364,ANCHORAGE,AK,99518,7120 HART STREET,NVOCC,SECRETARY,2027-04-30,(425) 744-1099
ARGENTS AIR EXPRESS LTD.,DAGNY CHIAPPETTA,,(843) 785-8700,UNITED STATES,,002797,ARGENTS EXPRESS GROUP,003368,HILTON HEAD,SC,29928,19 SHELTER COVE LN SUITE 206,NVOCC + FF,VICE PRESIDENT,2027-08-31,(843) 785-9517
"AMERICA PACIFIC CONTAINER LINE, INC.",EDUARDO FERRER,,(562) 428-8856,UNITED STATES,,002844,,016366,LONG BEACH,CA,90807,4425 ATLANTIC AVENUE SUITE A-14,NVOCC,DIRECTOR/PRESIDENT/CFO/CEO,2027-06-30,(562) 428-2554
MULTITRANS LTD.,,,,JAPAN,,002854,,,"CHUO-KU, TOKYO  103-0023",,,"HONEI BLDG., 8/F., 9-2, 4-CHOME NIHONBASHI-HONCHO",NVOCC,,2028-10-18,
"SAMUEL SHAPIRO & COMPANY, INC.",MARJORIE SHAPIRO,,(410) 539-0540,UNITED STATES,,004026,INFINITY LOGISTICS,000017,BALTIMORE,MD,21230,1215 EAST FORT AVENUE SUITE 201,NVOCC + FF,PRESIDENT,2029-07-31,(410) 510-1459
J. W. ALLEN & COMPANY INCORPORATED,"GERALD BECNEL, JR.",,(504) 464-0181,UNITED STATES,,004050,BEACON GLOBAL LOGISTICS,000067,SAINT ROSE,LA,70087,1000 RIVERBEND DRIVE SUITE L,NVOCC + FF,C.A.O.,2027-07-31,(504) 464-0182
ATLAS VAN LINES INTERNATIONAL CORP.,JOHN GRIFFIN,,(812) 424-2222,UNITED STATES,,004056,,000079,EVANSVILLE,IN,47711,1212 SAINT GEORGE RD,NVOCC + FF,CHAIRMAN/PRESIDENT,2028-09-30,(812) 421-7125
"JOHN F. KILROY COMPANY, INC.",MICHAEL PIPITONE,,(718) 656-7818,UNITED STATES,,004075,,000114,ROSEDALE,NY,11422,ONE CROSS ISLAND PLAZA SUITE 203 - E,NVOCC + FF,PRESIDENT,2029-04-30,(718) 656-8888
"W.J. BYRNES & COMPANY OF LOS ANGELES, INC.",PAMELA ORDAZ,,(310) 615-2325,UNITED STATES,,004104,,000164,TORRANCE,CA,90504,18811 CRENSHAW PLACE,NVOCC + FF,VICE PRESIDENT,2027-04-30,(310) 615-2335
C. H. POWELL COMPANY,GEOFFREY POWELL,,(781) 302-7300,UNITED STATES,,004112,TANDEM GLOBAL LOGISTICS,000176,CANTON,MA,02021,75 SHAWMUT ROAD,NVOCC + FF,PRESIDENT,2028-06-30,(781) 302-7399
"D.J. POWERS COMPANY, INC.",RHETT WILLIS,,(912) 234-7241,UNITED STATES,,004117,TRANSEAS EXPRESS,000184,SAVANNAH,GA,31405,5000 BUSINESS CENTER DRIVE SUITE 1000,NVOCC + FF,AREA MANAGER,2028-04-30,(912) 236-5230
"F.C. GERLACH AND CO., INC.",ROBERT SOMERVILLE,,(516) 371-9080,UNITED STATES,,004125,,000205,LAWRENCE,NY,11559,290 CENTRAL AVENUE SUITE 105,NVOCC + FF,PRESIDENT,2028-05-31,(516) 371-9088
"KARR, ELLIS & CO., INC.",RAYMOND WALSH,,(347) 632-1500,UNITED STATES,,004140,SEA TRACK CONSOLIDATORS,000230,VALLEY STREAM,NY,11580,10 E. MERRICK ROAD SUITE 202,NVOCC + FF,PRESIDENT,2026-10-31,(516) 285-4131
"HOYT, SHEPSTON & SCIARONI, INC.",DEBORAH DAVIS,,(415) 309-3106,UNITED STATES,,004157,HOYT OVERSEAS TRANSPORTATION,000247,SOUTH SAN FRANCISCO,CA,94080,264 MICHELLE CT.,NVOCC + FF,VICE PRESIDENT/SECRETARY,2027-07-31,(650) 634-8195
"RESOLUTION, INCORPORATED",MAIA YORDANOV,,(504) 891-6300,UNITED STATES,,004164,"NAVIGATION NETWORK, INC.",000268,NEW ORLEANS,LA,70115,5620 TCHOUPITOULAS STREET,NVOCC + FF,CHIEF OPERATING OFFICER,2027-08-31,(504) 891-6365
"BLASER & MERICLE, INC.",STEPHANIE LORENZI,,(216) 267-1800,UNITED STATES,,004304,BLASER EXPRESS,000633,CLEVELAND,OH,44135,16021 PURITAS AVENUE,NVOCC + FF,PRESIDENT,2029-03-31,(216) 267-0164
"MEADOWS WYE & CO., INC.",ROBERT AMBRIANO,,(718) 953-9702,UNITED STATES,,004317,MEADOWS WYE CONTAINER GROUPAGE,000660,STATEN ISLAND,NY,10303,2506 FOREST AVENUE,NVOCC + FF,PRESIDENT,2027-10-31,(718) 494-4167
WESTERN OVERSEAS CORPORATION,CARLO DE ATOUGUIA,,(562) 252-8600,UNITED STATES,,004394,,000857,CYPRESS,CA,90630,10731 WALKER STREET SUITE B,NVOCC + FF,"DIRECTOR, PRESIDENT",2027-07-31,(562) 986-1367
"EXPORT-IMPORT SERVICES, INC.",PATRICIA FARRELL,,(732) 636-8700,UNITED STATES,,004408,EIS INTERNATIONAL CORP.,000888,HAZLET,NJ,07730,"BETHANY COMMONS, ONE BETHANY ROAD BLDG. 5, SUITE 61",NVOCC + FF,MANAGING DIRECTOR,2028-08-31,(732) 636-6575
"NATURAL, NYDEGGER TRANSPORT CORPORATION",ROLAND CAMPBELL,,(646) 278-1710,UNITED STATES,,004413,OMNITRANS,000894,NEW YORK,NY,10001,29 WEST 30TH STREET 12TH FLOOR,NVOCC + FF,VICE PRESIDENT,2028-04-30,(646) 278-1759
"NIPPON EXPRESS U.S.A., INC.",MARY ARMSTRONG,,(708) 304-9900,UNITED STATES,,004495,NX GLOBAL OCEAN NETWORK,001087,WOOD DALE,IL,60191,800 N IL ROUTE 83,NVOCC + FF,GENERAL MANAGER (OCEAN CARGO DIVISION),2028-07-31,
CONTAMAR SHIPPING CORPORATION,BRIAN CASTELLANA,,(212) 267-5775,UNITED STATES,,004540,CGC LINE,001192,BROOKLYN,NY,11232,"67 35TH STREET SUITE 350, BOX 3",NVOCC + FF,PRESIDENT/SECRETARY,2028-02-28,(212) 227-8641
"ROGERS & BROWN CUSTOM BROKERS, INC.",DON BROWN,,(843) 577-3630,UNITED STATES,,004541,BOSS INTERNATIONAL,001194,LADSON,SC,29456,9550 HAMBURG ROAD,NVOCC + FF,CHAIRMAN,2028-04-30,(843) 720-8911
E. BESLER & CO.,KEVIN EGAN,,(847) 364-0300,UNITED STATES,,004553,,001214,ELK GROVE VILLAGE,IL,60007,115 MARTIN LANE,NVOCC + FF,PRESIDENT,2029-04-30,(847) 364-0301
"BRUZZONE SHIPPING, INC.",ANTHONY BRUZZONE,,(516) 239-7120,UNITED STATES,,004595,,001303,FREEPORT,NY,11520,224 BUFFALO AVENUE,NVOCC + FF,SECRETARY,2028-03-31,(516) 239-7720
"TRANS-PORT INTERNATIONAL, INC.",GREG SCHULER,,(843) 723-0688,UNITED STATES,,004604,,001315,NORTH CHARLESTON,SC,29406,4975 LACROSS ROAD SUITE 300,NVOCC + FF,PRESIDENT,2029-05-31,866-605-1339
"KYFI, INCORPORATED","DONALD FARRIS, JR.",,(502) 810-9800,UNITED STATES,,004619,,001342,LOUISVILLE,KY,40219,4300 FERN VALLEY ROAD,NVOCC + FF,PRESIDENT,2027-02-28,(502) 810-9978
CHARLES M. SCHAYER & CO.,"STEVEN SAMPSON, JR.",,(303) 399-5160,UNITED STATES,,004623,,001349,HENDERSON,CO,80640,10051 DALLAS ST.,NVOCC + FF,VICE PRESIDENT,2027-09-30,(303) 393-7084
"INTERNATIONAL SPECIALISTS, INC.",MICHAEL VAUGHAN,,6173579383,UNITED STATES,,004628,,001359,BOSTON,MA,02109,177 MILK STREET,NVOCC + FF,PRESIDENT/CLERK,2027-09-30,(617) 357-9436
CORCORAN INTERNATIONAL CORP.,JIAN (JEFF) HUANG,,(718) 244-6063,UNITED STATES,,004632,,001365,VALLEY STREAM,NY,11581,938 ROCKAWAY AVE,NVOCC + FF,PRESIDENT,2027-05-31,(718) 244-6203
"IMPERIAL FREIGHT BROKERS, INC.",RALPH DE LA ROSA,,(305) 592-6910,UNITED STATES,,004652,,001399,DORAL,FL,33172,10890 NW 29TH STREET,NVOCC + FF,PRESIDENT,2028-09-30,(305) 593-1781
"INTERNATIONAL FREIGHT SERVICES, INC.",JOSEPH DI MAIO,,(650) 692-1632,UNITED STATES,,004681,,001461,BURLINGAME,CA,94010,1610 ROLLINS ROAD,NVOCC + FF,PRESIDENT,2027-01-31,(650) 697-4929
SENDEREX CARGO INC.,CRAIG ANDERSON,,(310) 342-2900,UNITED STATES,,004706,,001511,CARSON,CA,90746,17022 MONTANERO AVE SUITE 6,NVOCC + FF,PRESIDENT,2029-01-31,
"TLR - TOTAL LOGISTICS RESOURCE, INC.",HEATHER KIESEL,,(503) 257-0513,UNITED STATES,,004731,,001560,VANCOUVER,WA,98684,701 NE 136TH AVE SU 200,NVOCC + FF,PRESIDENT,2027-10-31,(503) 257-0510
"PAGE & JONES, INC.","MICHAEL LEE, SR.",,(251) 287-8701,UNITED STATES,,004735,PELICAN CARGO TRANSPORT,001567,MOBILE,AL,36602,52 NORTH JACKSON STREET,NVOCC + FF,PRESIDENT,2027-07-31,(251) 287-8760
"HECNY TRANSPORTATION, INC.",CARLOS TSENG,,(562) 616-7888,UNITED STATES,,004753,,001599,RANCHO DOMINGUEZ,CA,90220,19550 SOUTH DOMINGUEZ HILLS DRIVE,NVOCC + FF,VICE PRESIDENT,2028-09-30,(562) 616-7895
PACKAIR AIRFREIGHT INC.,CESAR PESCHIERA,,(310) 337-9993,UNITED STATES,,004754,PACKAIR OCEAN FREIGHT,001605,GARDENA,CA,90249,1700 WEST EL SEGUNDO BLVD.,NVOCC + FF,VICE PRESIDENT (OPERATIONS),2028-05-31,(310) 818-4267
"PAXTON VAN LINES, INCORPORATED","FREDERICK PAXTON, III",,(703) 321-4070,UNITED STATES,,004768,MERIDIAN CONTAINER LINES,001633,SPRINGFIELD,VA,22151,5300 PORT ROYAL ROAD,NVOCC + FF,ASSISTANT SECRETARY,2029-03-31,(703) 321-0009
"POSEY INTERNATIONAL, INC.",LUIS GARZA,,(713) 672-1985,UNITED STATES,,004801,,001682,HOUSTON,TX,77090,110 CYPRESS STATION DRIVE SUITE 108,NVOCC + FF,DIRECTOR/PRESIDENT/SECRETARY,2028-02-28,(713) 672-6235
"MARUZEN OF AMERICA, INC.",SHUICHI YAMANAKA,,(310) 637-8874,UNITED STATES,,004804,MARUZEN CONTAINER LINES (USA),001690,DOMINGUEZ HILLS,CA,90220,19640 RANCHO WAY,NVOCC + FF,EVP/COO,2028-10-31,(310) 608-1258
"R. L. SWEARER COMPANY, INC.",CHARLES WATSON,,4122691919,UNITED STATES,,004808,,001698,CORAOPOLIS,PA,15108,115 MCLAUGHLIN ROAD,NVOCC + FF,OWNER,2028-08-31,(412) 269-1997
BRUNING INTERNATIONAL CORP.,DENNIS BRUNING,,(781) 300-0025,UNITED STATES,,004812,,001707,HOLBROOK,MA,02343,275 CENTRE STREET,NVOCC + FF,PRESIDENT,2028-07-31,(781) 300-0024
"WORLD COMMERCE FORWARDING, INC.",FRANK REYES,,(281) 209-2697,UNITED STATES,,004836,,001746,HOUSTON,TX,77032,14710 JOHN F. KENNEDY BLVD. SUITE 160,NVOCC + FF,PRESIDENT,2027-06-30,(281) 209-2714
"BMI, INC.",KEVIN BARDALES,,(504) 467-4220,UNITED STATES,,004857,,001776,KENNER,LA,70062,2119 ABERDEEN STREET,NVOCC + FF,PRESIDENT,2028-06-30,(504) 467-5557
"JOSE G. FLORES, INC.",GLADYS APONTE DE FLORES,,(787) 793-2400,UNITED STATES,,004866,,001796,GUAYNABO,PR,00968,"DIANA STREET, LOT 27 AMELIA DISTRIBUTION CENTER",NVOCC + FF,PRESIDENT,2028-06-30,(787) 782-7044
"BLUE SKY BLUE SEA, INC.",KASRA FERASAT,,(310) 895-7192,UNITED STATES,,004869,AMERICAN EXPORT LINES,001803,LOS ANGELES,CA,90061,13500 S. FIGUEROA STREET,NVOCC + FF,SECRETARY,2028-03-31,(310) 651-9663
"COMMODITY FORWARDERS, INC.",CHRIS CONNELL,,(310) 348-8855,UNITED STATES,,004890,,001833,LOS ANGELES,CA,90045,11101 SOUTH LA CIENEGA BLVD. 11101 LA CIENEGA BLVD.,NVOCC + FF,VICE PRESIDENT PERISHABLES,2029-03-31,(310) 348-8879
"STIEGLER SHIPPING COMPANY, INC.",GARY STIEGLER,,(251) 639-7300,UNITED STATES,,004896,TIDE LINE,001849,MOBILE,AL,36695,1151 HILLCREST ROAD SUITE F,NVOCC + FF,PRESIDENT/SECRETARY,2027-09-30,(251) 639-7306
"A. N. DERINGER, INC.",JACOB HOLZSCHEITER,,(802) 524-8108,UNITED STATES,,004899,,001853,ST. ALBANS,VT,05478,64 NORTH MAIN STREET,NVOCC + FF,PRESIDENT/CEO,2027-03-31,(802) 524-8129
"JUMBO TRANSPORT INTERNATIONAL, INC.",PETRA SCHWARZ,,(908) 527-1500,UNITED STATES,,004924,,001889,WAYNE,NJ,07470,27 PARKWOOD DR,NVOCC + FF,CHAIRMAN/PRESIDENT/SECRETARY/TREASURER,2028-09-30,8624856548
CARMICHAEL INTERNATIONAL SERVICE,ASIM FAIZ,,(213) 401-3614,UNITED STATES,,004946,C.I. CONTAINER LINE,001188,MONTEREY PARK,CA,91754,1200 CORPORATE CENTER DR STE 200,NVOCC + FF,PRESIDENT,2028-08-31,(213) 250-0710
SEAMODAL TRANSPORT CORPORATION,FLORENTINO VILLANUEVA,,(510) 832-2686,UNITED STATES,,005030,,002034,HAYWARD,CA,94545,3540 ARDEN ROAD,NVOCC + FF,EXECUTIVE VICE PRESIDENT/QI,2029-04-30,
"TRANSCONTAINER TRANSPORT, INC.",CLAUDIA CARBY,,(973) 272-0201,UNITED STATES,,005117,TRANSCONTAINER LINES,002154,CLIFTON,NJ,07012,777 PASSAIC AVENUE SUITE 560,NVOCC + FF,C.E.O./SECRETARY/TREASURER,2027-04-30,(973) 272-0208
"INTER-CARGO, INC.",YAILEEN RODIGUEZ,,(305) 592-5578,UNITED STATES,,005139,,002187,MIAMI,FL,33172,1990 N.W. 95TH AVENUE,NVOCC + FF,DIRECTOR,2028-07-31,(305) 477-7020
"I.F.T.C., INC.",JESUS LOVO,,(305) 392-4700,UNITED STATES,,005144,MAGNO LINE,002197,HIALEAH GARDENS,FL,33018,10901 NW 146TH STREET UNIT 1,NVOCC + FF,VICE PRESIDENT,2028-07-31,(305) 402-7650
EQUIPSA INC.,MARITZA MORENO,,(305) 592-7610,UNITED STATES,,005157,,002216,MEDLEY,FL,33178,9800 NW 100TH RD.,NVOCC + FF,SECRETARY,2029-06-30,(305) 591-9709
"PHOENIX INTERNATIONAL FORWARDERS, INC.",CHRISTINA FEIJOO,,(305) 591-2492,UNITED STATES,,005179,,002248,DORAL,FL,33178,11450 NW 34TH STREET SUITE 100,NVOCC + FF,VICE PRESIDENT,2027-08-31,
"MEIKO AMERICA, INC.",MARIA  NOVAK,,(310) 483-7400,UNITED STATES,,005240,,002320,TORRANCE,CA,90502,19600 MAGELLAN DRIVE,NVOCC + FF,VICE PRESIDENT,2026-10-31,(310) 483-7407
"NORMAN KRIEGER, INC.",ROBERT KRIEGER,,(310) 668-5726,UNITED STATES,,005335,KRIEGER SEA SERVICES,002435,LONG BEACH,CA,90815,5000 EAST SPRING STREET SUITE 250,NVOCC + FF,PRESIDENT,2026-05-31,(310) 668-5800
DIMERCO EXPRESS (U.S.A.) CORP.,JEFFREY SHIH,,(630) 592-4388,UNITED STATES,,005338,,002438,WOOD DALE,IL,60191,955 DILLON DRIVE,NVOCC + FF,PRESIDENT,2029-08-31,(630) 766-2362
"NESTOR REYES, INC.",,,(787) 289-6465,UNITED STATES,,005368,,002470,SAN JUAN,PR,00920,ILA BUILDING SUITE 801 #1055 MARGINAL JF KENNEDY AVE,NVOCC + FF,,2028-10-31,(787) 289-6465
TRANS OVERSEAS CORPORATION,BRETT OUELLETTE,,(734) 946-8750,UNITED STATES,,005384,,002487,ROMULUS,MI,48174,28000 GODDARD ROAD,NVOCC + FF,VICE PRESIDENT-SALES/LOGISTICS,2028-07-31,(734) 946-8197
"WORTHMORE FORWARDING, INC.",MICHAEL SIRACUSANO,,(718) 656-1116,UNITED STATES,,005408,MYSTIC MARINE TRANSPORT,002513,VALLEY STREAM,NY,11580,131 E. MINEOLA AVENUE,NVOCC + FF,PRESIDENT,2029-03-31,(516) 825-5811
"AMERICAN OVERSEAS TRANSPORT, LTD.",ROLF BRUNS,,(630)521-9860,UNITED STATES,,005437,WORLD CONSOLIDATORS,002549,WOOD DALE,IL,60191,175 HANSEN COURT SUITE 108,NVOCC + FF,PRESIDENT,2027-09-30,(630) 521-9895
"EDWARD J. ZARACH & ASSOCIATES, INC.",EDWARD ZARACH,,(630) 595-7300,UNITED STATES,,005471,,002593,BENSENVILLE,IL,60106,650 SUPREME DR,NVOCC + FF,PRESIDENT,2028-03-31,(630) 595-7340
MORRISON EXPRESS CORPORATION (U.S.A.),ELISA LIAO,,(310) 322-8999,UNITED STATES,,005499,,004629,EL SEGUNDO,CA,90245,2000 SOUTH HUGHES WAY,NVOCC + FF,DIRECTOR - OCEAN PRODUCT,2026-09-30,(310) 322-6688
"YAMATO TRANSPORT U.S.A., INC.",SHIGETO AKAO,,(424) 529-5000,UNITED STATES,,005506,,002637,COMPTON,CA,90220,1055 WEST VICTORIA STREET,NVOCC + FF,SR. VP,2029-07-31,(424) 213-1611
"IFF, INC.",CHRISTIAN HALPAUS,,(404) 305-9433,UNITED STATES,,005521,,002652,STOCKBRIDGE,GA,30281,202 EAGLES LANDING PKWY,NVOCC + FF,CEO/PRESIDENT,2027-02-28,(404) 209-6741
"TRANSWORLD LOGISTICS GROUP, INC.",ZIAD BARGHASH,,732 981-1981,UNITED STATES,,005523,TLG INC.,002654,PISCATAWAY,NJ,08854,242 OLD NEW BRUNSWICK ROAD SUITE 390,NVOCC + FF,PRESIDENT/TREASURER,2027-04-30,
"AMERICAN LAMPRECHT TRANSPORT, INC.",MARTIN KAEGI,,(516) 239-6200,UNITED STATES,,005527,,002658,LAWRENCE,NY,11559,700 ROCKAWAY TURNPIKE,NVOCC + FF,VICE PRESIDENT (COMPLIANCE),2027-08-31,(516) 386-4326
"CHAVEZ, BOGDANSKI AND CINCINELLO INTERNATIONAL, INC.",ELIZABETH KAPUSTA,,(630) 924-4300,UNITED STATES,,005529,OCEANWIDE CONTAINER LINES,002660,OAKBROOK TERRACE,IL,60181,1901 S. MEYERS RD. SUITE 190,NVOCC + FF,VICE PRESIDENT,2027-10-31,(630) 671-9680
"ALISON TRANSPORT, INC.",ARIK YOCHAI,,(516) 563-6500,UNITED STATES,,005603,,002739,VALLEY STREAM,NY,11581,70 E SUNRISE HIGHWAY SUITE 602,NVOCC + FF,CEO,2026-09-30,(515) 536-6500
"TARGET INTERNATIONAL SHIPPING, INC.",SHIRLEY MITCHELL,,(908) 862-1777,UNITED STATES,,005624,,002761,LINDEN,NJ,07036,1065 EDWARD STREET,NVOCC + FF,PRESIDENT,2027-01-31,(908) 862-5711
